diarizer,stratify_by,group,n,n_pos,f1,precision,recall,auroc,auprc,fp,fn
EEND-EDA,task_type,bookshare,9,7,0.8000,0.7500,0.8571,0.1429,0.6679,2,1
EEND-EDA,task_type,dailyroutine,29,27,0.9259,0.9259,0.9259,0.5741,0.9564,2,2
EEND-EDA,task_type,generalsocialcommunicationinteraction,135,112,0.8880,0.8295,0.9554,0.4979,0.8420,22,5
EEND-EDA,task_type,motorplay,96,63,0.8079,0.6932,0.9683,0.5753,0.7479,27,2
EEND-EDA,task_type,other,43,29,0.7826,0.6750,0.9310,0.5936,0.6938,13,2
EEND-EDA,task_type,socialroutine,23,22,0.9545,0.9545,0.9545,0.2727,0.9481,1,1
EEND-EDA,task_type,specialoccasion,17,9,0.7500,0.6000,1.0000,0.7083,0.7593,6,0
EEND-EDA,task_type,toyplay,77,57,0.8226,0.7612,0.8947,0.5053,0.7479,16,6
EEND-EDA,task_type,unknown,11,9,0.6250,0.7143,0.5556,0.2222,0.7780,2,4
EEND-EDA,timepoint_norm,14_month,234,163,0.8138,0.7183,0.9387,0.5830,0.7654,60,10
EEND-EDA,timepoint_norm,36_month,207,172,0.8760,0.8325,0.9244,0.4285,0.7972,32,13
EEND-EDA,n_adults_cat,0,337,259,0.8486,0.7799,0.9305,0.5332,0.7904,68,18
EEND-EDA,n_adults_cat,1,89,69,0.8421,0.7711,0.9275,0.5435,0.8195,19,5
EEND-EDA,n_adults_cat,2+,14,7,0.7778,0.6364,1.0000,0.5714,0.6267,4,0
EEND-EDA,n_children_cat,1,345,271,0.8586,0.7975,0.9299,0.5089,0.8035,64,19
EEND-EDA,n_children_cat,2+,94,62,0.7838,0.6744,0.9355,0.5862,0.7038,28,4
EEND-EDA,has_interaction,False,94,54,0.7101,0.5833,0.9074,0.6067,0.6991,35,5
EEND-EDA,has_interaction,True,347,281,0.8752,0.8219,0.9359,0.5019,0.8127,57,18
EEND-EDA,has_gestures,False,247,183,0.8321,0.7500,0.9344,0.5068,0.7483,57,12
EEND-EDA,has_gestures,True,194,152,0.8598,0.8011,0.9276,0.5617,0.8254,35,11
EEND-EDA,context,book share,9,7,0.8000,0.7500,0.8571,0.1429,0.6679,2,1
EEND-EDA,context,daily routine,30,28,0.9091,0.9259,0.8929,0.5536,0.9557,2,3
EEND-EDA,context,general social communication interaction,140,116,0.8790,0.8258,0.9397,0.4935,0.8415,23,7
EEND-EDA,context,motor play,96,63,0.8079,0.6932,0.9683,0.5753,0.7479,27,2
EEND-EDA,context,other,44,30,0.7887,0.6829,0.9333,0.5976,0.7013,13,2
EEND-EDA,context,social routine,24,23,0.9565,0.9565,0.9565,0.2609,0.9486,1,1
EEND-EDA,context,special occasion,17,9,0.7500,0.6000,1.0000,0.7083,0.7593,6,0
EEND-EDA,context,toy play,80,59,0.8125,0.7536,0.8814,0.4915,0.7408,17,7
EEND-EDA,location,inside private,306,248,0.8631,0.8165,0.9153,0.5614,0.8409,51,21
EEND-EDA,location,inside public,43,27,0.7463,0.6250,0.9259,0.5278,0.6777,15,2
EEND-EDA,location,outside private,43,28,0.8235,0.7000,1.0000,0.5619,0.7310,12,0
EEND-EDA,location,outside public,47,30,0.8108,0.6818,1.0000,0.4941,0.6597,14,0
EEND-EDA,child_constrained,False,364,277,0.8426,0.7718,0.9278,0.5442,0.7989,76,20
EEND-EDA,child_constrained,True,77,58,0.8527,0.7746,0.9483,0.4551,0.7084,16,3
EEND-EDA,face_visibility,high(8-10),188,146,0.8553,0.8061,0.9110,0.5060,0.7692,32,13
EEND-EDA,face_visibility,low(1-4),135,95,0.8072,0.7031,0.9474,0.5568,0.7804,38,5
EEND-EDA,face_visibility,mid(5-7),118,94,0.8683,0.8018,0.9468,0.5470,0.8114,22,5
EEND-EDA,lighting,high(6-10),431,328,0.8449,0.7741,0.9299,0.5229,0.7774,89,23
EEND-EDA,lighting,low(1-5),10,7,0.8235,0.7000,1.0000,0.7143,0.8917,3,0
EEND-EDA,body_parts,both,321,237,0.8295,0.7526,0.9241,0.5335,0.7679,72,18
EEND-EDA,body_parts,upper,117,95,0.8780,0.8182,0.9474,0.5033,0.8113,20,5
Sortformer,task_type,bookshare,9,7,0.8000,0.7500,0.8571,0.8571,0.9683,2,1
Sortformer,task_type,dailyroutine,29,27,0.9630,0.9630,0.9630,0.5093,0.9089,1,1
Sortformer,task_type,generalsocialcommunicationinteraction,135,112,0.8908,0.8413,0.9464,0.6537,0.8850,20,6
Sortformer,task_type,motorplay,96,63,0.7571,0.6883,0.8413,0.5938,0.7428,24,10
Sortformer,task_type,other,43,29,0.8254,0.7647,0.8966,0.8005,0.8965,8,3
Sortformer,task_type,socialroutine,23,22,0.8500,0.9444,0.7727,0.2273,0.9422,1,5
Sortformer,task_type,specialoccasion,17,9,0.7200,0.5625,1.0000,0.6389,0.6766,7,0
Sortformer,task_type,toyplay,77,57,0.8305,0.8033,0.8596,0.7136,0.8367,12,8
Sortformer,task_type,unknown,11,9,0.9474,0.9000,1.0000,0.6667,0.9060,1,0
Sortformer,timepoint_norm,14_month,234,163,0.7966,0.7382,0.8650,0.6813,0.8068,50,22
Sortformer,timepoint_norm,36_month,207,172,0.8914,0.8556,0.9302,0.6036,0.8736,27,12
Sortformer,n_adults_cat,0,337,259,0.8571,0.8061,0.9151,0.6611,0.8450,57,22
Sortformer,n_adults_cat,1,89,69,0.8112,0.7838,0.8406,0.5891,0.8302,16,11
Sortformer,n_adults_cat,2+,14,7,0.7500,0.6667,0.8571,0.8776,0.9038,3,1
Sortformer,n_children_cat,1,345,271,0.8491,0.8094,0.8930,0.6180,0.8413,57,29
Sortformer,n_children_cat,2+,94,62,0.8201,0.7403,0.9194,0.7898,0.8502,20,5
Sortformer,has_interaction,False,94,54,0.7458,0.6875,0.8148,0.7329,0.7765,20,10
Sortformer,has_interaction,True,347,281,0.8639,0.8185,0.9146,0.6063,0.8549,57,24
Sortformer,has_gestures,False,247,183,0.8256,0.7778,0.8798,0.6798,0.8375,46,22
Sortformer,has_gestures,True,194,152,0.8669,0.8187,0.9211,0.6378,0.8508,31,12
Sortformer,context,book share,9,7,0.8000,0.7500,0.8571,0.8571,0.9683,2,1
Sortformer,context,daily routine,30,28,0.9643,0.9643,0.9643,0.5089,0.9109,1,1
Sortformer,context,general social communication interaction,140,116,0.8907,0.8397,0.9483,0.6394,0.8821,21,6
Sortformer,context,motor play,96,63,0.7571,0.6883,0.8413,0.5938,0.7428,24,10
Sortformer,context,other,44,30,0.8308,0.7714,0.9000,0.8000,0.8976,8,3
Sortformer,context,social routine,24,23,0.8571,0.9474,0.7826,0.2609,0.9491,1,5
Sortformer,context,special occasion,17,9,0.7200,0.5625,1.0000,0.6389,0.6766,7,0
Sortformer,context,toy play,80,59,0.8361,0.8095,0.8644,0.7256,0.8413,12,8
Sortformer,location,inside private,306,248,0.8672,0.8409,0.8952,0.6443,0.8663,42,26
Sortformer,location,inside public,43,27,0.8000,0.7273,0.8889,0.7072,0.7856,9,3
Sortformer,location,outside private,43,28,0.7761,0.6667,0.9286,0.6667,0.7847,13,2
Sortformer,location,outside public,47,30,0.7714,0.6750,0.9000,0.6314,0.7363,13,3
Sortformer,child_constrained,False,364,277,0.8464,0.8026,0.8953,0.6615,0.8394,61,29
Sortformer,child_constrained,True,77,58,0.8346,0.7681,0.9138,0.6733,0.8532,16,5
Sortformer,face_visibility,high(8-10),188,146,0.8617,0.8121,0.9178,0.7122,0.8880,31,12
Sortformer,face_visibility,low(1-4),135,95,0.7902,0.7364,0.8526,0.6350,0.7883,29,14
Sortformer,face_visibility,mid(5-7),118,94,0.8731,0.8350,0.9149,0.6139,0.8203,17,8
Sortformer,lighting,high(6-10),431,328,0.8469,0.7978,0.9024,0.6611,0.8390,75,32
Sortformer,lighting,low(1-5),10,7,0.7143,0.7143,0.7143,0.6667,0.8619,2,2
Sortformer,body_parts,both,321,237,0.8284,0.7778,0.8861,0.6484,0.8153,60,27
Sortformer,body_parts,upper,117,95,0.8856,0.8396,0.9368,0.7098,0.9014,17,6
WavLM-MIL,task_type,bookshare,9,7,0.8750,0.7778,1.0000,0.9286,0.9821,2,0
WavLM-MIL,task_type,dailyroutine,29,27,0.9818,0.9643,1.0000,0.7963,0.9819,1,0
WavLM-MIL,task_type,generalsocialcommunicationinteraction,135,112,0.9295,0.8682,1.0000,0.8024,0.9343,17,0
WavLM-MIL,task_type,motorplay,96,63,0.8267,0.7126,0.9841,0.7912,0.8449,25,1
WavLM-MIL,task_type,other,43,29,0.8750,0.8000,0.9655,0.7931,0.8387,7,1
WavLM-MIL,task_type,socialroutine,23,22,0.9302,0.9524,0.9091,0.9091,0.9960,1,2
WavLM-MIL,task_type,specialoccasion,17,9,0.7200,0.5625,1.0000,0.5694,0.6005,7,0
WavLM-MIL,task_type,toyplay,77,57,0.8480,0.7794,0.9298,0.7386,0.8900,15,4
WavLM-MIL,task_type,unknown,11,9,0.8421,0.8000,0.8889,0.2222,0.7308,2,1
WavLM-MIL,timepoint_norm,14_month,234,163,0.8525,0.7571,0.9755,0.7762,0.8500,51,4
WavLM-MIL,timepoint_norm,36_month,207,172,0.9126,0.8608,0.9709,0.7583,0.9329,27,5
WavLM-MIL,n_adults_cat,0,337,259,0.8869,0.8176,0.9691,0.7704,0.8914,56,8
WavLM-MIL,n_adults_cat,1,89,69,0.8774,0.7907,0.9855,0.7246,0.9083,18,1
WavLM-MIL,n_adults_cat,2+,14,7,0.7778,0.6364,1.0000,0.8776,0.8802,4,0
WavLM-MIL,n_children_cat,1,345,271,0.8976,0.8349,0.9705,0.7985,0.9167,52,8
WavLM-MIL,n_children_cat,2+,94,62,0.8188,0.7011,0.9839,0.7198,0.8101,26,1
WavLM-MIL,has_interaction,False,94,54,0.7778,0.6806,0.9074,0.7565,0.7704,23,5
WavLM-MIL,has_interaction,True,347,281,0.9038,0.8343,0.9858,0.7508,0.9121,55,4
WavLM-MIL,has_gestures,False,247,183,0.8775,0.7956,0.9781,0.7899,0.8877,46,4
WavLM-MIL,has_gestures,True,194,152,0.8882,0.8212,0.9671,0.7469,0.9005,32,5
WavLM-MIL,context,book share,9,7,0.8750,0.7778,1.0000,0.9286,0.9821,2,0
WavLM-MIL,context,daily routine,30,28,0.9825,0.9655,1.0000,0.7857,0.9814,1,0
WavLM-MIL,context,general social communication interaction,140,116,0.9237,0.8647,0.9914,0.7874,0.9309,18,1
WavLM-MIL,context,motor play,96,63,0.8267,0.7126,0.9841,0.7912,0.8449,25,1
WavLM-MIL,context,other,44,30,0.8788,0.8056,0.9667,0.7881,0.8394,7,1
WavLM-MIL,context,social routine,24,23,0.9333,0.9545,0.9130,0.9130,0.9963,1,2
WavLM-MIL,context,special occasion,17,9,0.7200,0.5625,1.0000,0.5694,0.6005,7,0
WavLM-MIL,context,toy play,80,59,0.8462,0.7746,0.9322,0.7086,0.8630,16,4
WavLM-MIL,location,inside private,306,248,0.9071,0.8414,0.9839,0.7405,0.9035,46,4
WavLM-MIL,location,inside public,43,27,0.8197,0.7353,0.9259,0.7847,0.8396,9,2
WavLM-MIL,location,outside private,43,28,0.8308,0.7297,0.9643,0.8048,0.8904,10,1
WavLM-MIL,location,outside public,47,30,0.7887,0.6829,0.9333,0.7569,0.8104,13,2
WavLM-MIL,child_constrained,False,364,277,0.8849,0.8127,0.9711,0.7589,0.8858,62,8
WavLM-MIL,child_constrained,True,77,58,0.8702,0.7808,0.9828,0.8348,0.9399,16,1
WavLM-MIL,face_visibility,high(8-10),188,146,0.8840,0.8150,0.9658,0.7622,0.8949,32,5
WavLM-MIL,face_visibility,low(1-4),135,95,0.8651,0.7750,0.9789,0.7516,0.8622,27,2
WavLM-MIL,face_visibility,mid(5-7),118,94,0.8976,0.8288,0.9787,0.8147,0.9246,19,2
WavLM-MIL,lighting,high(6-10),431,328,0.8824,0.8076,0.9726,0.7685,0.8917,76,9
WavLM-MIL,lighting,low(1-5),10,7,0.8750,0.7778,1.0000,0.8571,0.9478,2,0
WavLM-MIL,body_parts,both,321,237,0.8707,0.7924,0.9662,0.7665,0.8799,60,8
WavLM-MIL,body_parts,upper,117,95,0.9082,0.8393,0.9895,0.7766,0.9202,18,1
Whisper-MIL,task_type,bookshare,9,7,0.9231,1.0000,0.8571,0.9286,0.9821,0,1
Whisper-MIL,task_type,dailyroutine,29,27,0.9615,1.0000,0.9259,0.9815,0.9987,0,2
Whisper-MIL,task_type,generalsocialcommunicationinteraction,135,112,0.9244,0.9204,0.9286,0.8676,0.9698,9,8
Whisper-MIL,task_type,motorplay,96,63,0.8369,0.7564,0.9365,0.8215,0.8854,19,4
Whisper-MIL,task_type,other,43,29,0.8571,0.8889,0.8276,0.8498,0.9244,3,5
Whisper-MIL,task_type,socialroutine,23,22,0.9302,0.9524,0.9091,0.8636,0.9938,1,2
Whisper-MIL,task_type,specialoccasion,17,9,0.7200,0.5625,1.0000,0.8056,0.8123,7,0
Whisper-MIL,task_type,toyplay,77,57,0.8750,0.8909,0.8596,0.8860,0.9571,6,8
Whisper-MIL,task_type,unknown,11,9,0.8235,0.8750,0.7778,0.8333,0.9627,1,2
Whisper-MIL,timepoint_norm,14_month,234,163,0.8529,0.8353,0.8712,0.8293,0.9146,28,21
Whisper-MIL,timepoint_norm,36_month,207,172,0.9174,0.8994,0.9360,0.8754,0.9703,18,11
Whisper-MIL,n_adults_cat,0,337,259,0.8952,0.8835,0.9073,0.8765,0.9586,31,24
Whisper-MIL,n_adults_cat,1,89,69,0.8732,0.8493,0.8986,0.7638,0.9137,11,7
Whisper-MIL,n_adults_cat,2+,14,7,0.7500,0.6667,0.8571,0.7551,0.7065,3,1
Whisper-MIL,n_children_cat,1,345,271,0.8955,0.9057,0.8856,0.8727,0.9585,25,31
Whisper-MIL,n_children_cat,2+,94,62,0.8472,0.7439,0.9839,0.8493,0.9153,21,1
Whisper-MIL,has_interaction,False,94,54,0.8333,0.8333,0.8333,0.8843,0.9156,9,9
Whisper-MIL,has_interaction,True,347,281,0.8958,0.8746,0.9181,0.8266,0.9509,37,23
Whisper-MIL,has_gestures,False,247,183,0.8859,0.8608,0.9126,0.8782,0.9518,27,16
Whisper-MIL,has_gestures,True,194,152,0.8860,0.8774,0.8947,0.8174,0.9392,19,16
Whisper-MIL,context,book share,9,7,0.9231,1.0000,0.8571,0.9286,0.9821,0,1
Whisper-MIL,context,daily routine,30,28,0.9630,1.0000,0.9286,0.9821,0.9988,0,2
Whisper-MIL,context,general social communication interaction,140,116,0.9185,0.9145,0.9224,0.8660,0.9695,10,9
Whisper-MIL,context,motor play,96,63,0.8369,0.7564,0.9365,0.8215,0.8854,19,4
Whisper-MIL,context,other,44,30,0.8621,0.8929,0.8333,0.8524,0.9273,3,5
Whisper-MIL,context,social routine,24,23,0.9333,0.9545,0.9130,0.8696,0.9943,1,2
Whisper-MIL,context,special occasion,17,9,0.7200,0.5625,1.0000,0.8056,0.8123,7,0
Whisper-MIL,context,toy play,80,59,0.8696,0.8929,0.8475,0.8862,0.9560,6,9
Whisper-MIL,location,inside private,306,248,0.9098,0.9044,0.9153,0.8685,0.9629,24,21
Whisper-MIL,location,inside public,43,27,0.7857,0.7586,0.8148,0.8032,0.8671,7,5
Whisper-MIL,location,outside private,43,28,0.8814,0.8387,0.9286,0.8500,0.9181,5,2
Whisper-MIL,location,outside public,47,30,0.7879,0.7222,0.8667,0.7647,0.8520,10,4
Whisper-MIL,child_constrained,False,364,277,0.8948,0.8838,0.9061,0.8759,0.9574,33,26
Whisper-MIL,child_constrained,True,77,58,0.8455,0.8000,0.8966,0.7341,0.8855,13,6
Whisper-MIL,face_visibility,high(8-10),188,146,0.8926,0.8750,0.9110,0.8550,0.9506,19,13
Whisper-MIL,face_visibility,low(1-4),135,95,0.8705,0.8571,0.8842,0.8642,0.9375,14,11
Whisper-MIL,face_visibility,mid(5-7),118,94,0.8912,0.8687,0.9149,0.8258,0.9480,13,8
Whisper-MIL,lighting,high(6-10),431,328,0.8866,0.8684,0.9055,0.8527,0.9458,45,31
Whisper-MIL,lighting,low(1-5),10,7,0.8571,0.8571,0.8571,0.8571,0.9379,1,1
Whisper-MIL,body_parts,both,321,237,0.8807,0.8594,0.9030,0.8563,0.9425,35,23
Whisper-MIL,body_parts,upper,117,95,0.8958,0.8866,0.9053,0.8354,0.9547,11,9
