filename,audio_duration_sec,vtc_sec,babar_sec,n_utterances
default_14_18mo_42_001280__1ff67db2ab5181ecf04a5f20358a6394.wav,30.0,0.24,0.0,0.0
default_14_18mo_42_001281__d37a702b1be994422077e943d2411a19.wav,30.0,0.24,0.0,0.0
default_14_18mo_42_001282__bd29f3bdb25cc8e2463790d23f9dc981.wav,30.0,0.24,0.21,2.0
default_14_18mo_42_001283__691d56dceec6bec71650221af1f4c4ae.wav,30.0,0.24,,
default_14_18mo_42_001284__e851d7efa51b55c4b61454a31d2e4488.wav,30.0,0.24,0.0,0.0
default_14_18mo_42_001285__f2b6f8f4e2247707d951a15a437a583e.wav,30.0,0.24,0.22,2.0
default_14_18mo_42_001286__27b0c6998542c6b53fd60bf49a254a90.wav,30.0,0.24,0.23,4.0
default_14_18mo_42_001287__2a88c86d556ac50d510123e577c192e8.wav,30.0,0.24,0.25,5.0
default_14_18mo_42_001288__e927c117476cae4a0a0efa5a00b690b0.wav,30.0,0.24,0.0,0.0
default_14_18mo_42_001289__ad9505608542163e2c063312d80122db.wav,30.0,0.24,0.0,0.0
default_14_18mo_42_001290__a195a0e652097e686559a2e976b8e768.wav,30.0,0.24,,
default_14_18mo_42_001291__ea35ca098e64ace0394ba600fbf60199.wav,30.0,0.24,0.23,2.0
default_14_18mo_42_001292__d7a50889ad16ff6e4a0f9ec59ae70c00.wav,30.0,0.24,,
default_14_18mo_42_001294__51c189433df9d4622586031bd33d0c3f.wav,30.0,0.24,0.24,4.0
default_14_18mo_42_001295__6d46afe0c2bd87f8ee50a6fcb9399217.wav,30.0,0.24,0.0,0.0
default_14_18mo_42_001296__8bb288bab6ee9882585f97ed8b979436.wav,30.0,0.24,0.0,0.0
default_14_18mo_42_001297__b30274dd88d24b6d989acddfc96e4e8e.wav,30.0,0.24,0.22,1.0
default_14_18mo_42_001298__7c256923b839fdc3a5993473c6d0e322.wav,30.0,0.24,0.28,1.0
default_14_18mo_42_001299__771e47ea77cf4c7ba8f2575d43131f54.wav,30.0,0.24,0.0,0.0
default_14_18mo_42_001300__6afca8f4df840a44aaa1b3b875484ce4.wav,30.0,0.24,,
default_14_18mo_42_001301__99cca5b639fb28bcd6bf5764eedda164.wav,30.0,0.24,0.31,2.0
default_14_18mo_42_001302__4d68255afbe51233b864947d7c535167.wav,30.0,0.24,0.27,1.0
default_14_18mo_42_001303__52edee84b8be7507b8edfedb481ad369.wav,30.0,0.24,0.25,1.0
default_14_18mo_42_001304__e50271aa195518a40b9a149cee4a070c.wav,30.0,0.24,,
default_14_18mo_42_001305__55695349152cb9e19786d7e543b0de5e.wav,30.0,0.24,0.27,2.0
default_14_18mo_42_001306__abd99bd6c1cc44554c90ca22951d40d5.wav,30.0,0.24,0.0,0.0
default_14_18mo_42_001307__468bdc4b8051f73f5dabb96d57d07ac7.wav,30.0,0.24,0.27,3.0
default_14_18mo_42_001308__40aa6927a786be6b17570d2cee6227b9.wav,30.0,0.24,0.0,0.0
default_14_18mo_42_001309__8a2cde04a6b8e8fd0b7ba1c04e67c05f.wav,30.0,0.24,0.29,2.0
default_14_18mo_42_001310__10a8303fc914c710ca3ab7d9677e6bbf.wav,30.0,0.24,0.0,0.0
default_14_18mo_42_001311__13851bfe4849d82d0b2fa2c481cf4f01.wav,30.0,0.24,0.0,0.0
default_14_18mo_42_001312__3fc01c4137d54e0055d13ac94847e396.wav,30.0,0.24,0.28,3.0
default_14_18mo_42_001313__624e9d95a478bac290e188b43da6d6c8.wav,30.0,0.24,0.28,1.0
default_14_18mo_42_001314__3c7d9662f1905511bde2b7809ca199ca.wav,30.0,0.24,0.0,0.0
default_14_18mo_42_001315__7977c20834362916f835aec47249558a.wav,30.0,0.24,0.27,1.0
default_14_18mo_42_001316__0bbf17a105d2116946049e3272d2266d.wav,30.0,0.24,0.0,0.0
default_14_18mo_42_001317__e1a7f102c942c2051a850f8a1751dc11.wav,30.0,0.24,0.27,3.0
default_14_18mo_42_001318__a3a28d897b7ef7f70055f22eaf277b9a.wav,30.0,0.24,0.0,0.0
default_14_18mo_42_001319__b8b27d67c7e4a2cfbbacd4c264b7f8c2.wav,30.0,0.24,0.25,1.0
default_14_18mo_42_001320__bc785f92c7f82df0ca1c63b8579d0f15.wav,30.0,0.24,0.0,0.0
default_14_18mo_42_001321__02c8fe514efba86ac0964a91c189ae42.wav,30.0,0.24,0.27,1.0
default_14_18mo_42_001322__6af782c99f4682135b003a5d4ab01e4c.wav,30.0,0.24,0.0,0.0
default_14_18mo_42_001323__8f5275c2713b0b1c394f9ed0672ef5ce.wav,30.0,0.24,0.25,1.0
default_14_18mo_42_001324__5716076e8c8be916c7aee979c3844391.wav,30.0,0.24,0.25,2.0
default_14_18mo_42_001325__0b61bd77f5c768a433293a2fcd02d502.wav,30.0,0.24,0.27,3.0
default_14_18mo_42_001326__4b39692db78c78a4e7342902e1744735.wav,30.0,0.24,0.27,1.0
default_14_18mo_42_001327__86c70a9941b2387d5bea5ebab6a1b333.wav,30.0,0.24,0.25,3.0
default_14_18mo_42_001328__66618cd1a585002dd158e8996441df5b.wav,30.0,0.24,0.25,2.0
default_14_18mo_42_001329__d31b748f32206298724fae32dfa6038e.wav,30.0,0.24,0.0,0.0
default_14_18mo_42_001330__2452f7d87e347c656d67e50bcd1ce19f.wav,30.0,0.24,0.0,0.0
default_14_18mo_42_001331__7630680007bf511ce039320266054f96.wav,30.0,0.24,0.23,1.0
default_14_18mo_42_001332__874a6175eab093583c745e5710e216da.wav,30.0,0.24,,
default_14_18mo_42_001333__a56c1eda77fa5060ed0fc9b52d068276.wav,30.0,0.24,0.0,0.0
default_14_18mo_42_001334__569f1b34147ecfceda15f84ce9afdd75.wav,30.0,0.24,0.25,3.0
default_14_18mo_42_001335__2a5cc59a0fa0e9833f775961e38b95e3.wav,30.0,0.24,0.25,1.0
default_14_18mo_42_001336__f5ca7d5b6cc29bebc25c3bbf8c998437.wav,30.0,0.24,0.26,3.0
default_14_18mo_42_001337__bfddf0dd823c6cf92d337f00476254bd.wav,30.0,0.24,0.24,1.0
default_14_18mo_42_001338__dff48bc0cb8b132154820c347c426de7.wav,30.0,0.24,,
default_14_18mo_42_001339__305238cb0a2f7ff8e4b51d8a8f8487b1.wav,30.0,0.24,0.0,0.0
default_14_18mo_42_001340__437f511f7d96cdd8e443a4b1ca08cd97.wav,30.0,0.24,,
default_14_18mo_42_001341__c06fa8a9c3d933aaa813ac9a51c43c0d.wav,30.0,0.24,0.0,0.0
default_14_18mo_42_001342__0dcc95a0378621160db49c42d3d2272e.wav,30.0,0.24,0.25,1.0
default_14_18mo_42_001343__501b92d7fd3fe6cb78b3da601e244fa1.wav,30.0,0.24,0.26,4.0
default_14_18mo_42_001344__92d399ac8d32aa530b03c1e6b432cedc.wav,30.0,0.24,0.26,4.0
default_14_18mo_42_001345__5e426ff07b4127b24d1d6536acdf96e5.wav,30.0,0.24,0.0,0.0
default_14_18mo_42_001346__7ca59fb0afa4e5a6d9931d1375f35d61.wav,30.0,0.24,0.27,4.0
default_14_18mo_42_001347__5dd68871a5469157d15d19f4a66b9c81.wav,30.0,0.24,,
default_14_18mo_42_001348__647f2bab822f963d3dedd6f04e2638df.wav,30.0,0.24,0.0,0.0
default_14_18mo_42_001349__8e1845ef0be813616e872cdb023e0a63.wav,30.0,0.24,0.26,3.0
default_14_18mo_42_001350__0192bec2acb679843338c12f9486b4d9.wav,30.0,0.24,0.22,1.0
default_14_18mo_42_001351__ab4661ce3f10dd41571223b9bbc4d1f8.wav,30.0,0.24,0.0,0.0
default_14_18mo_42_001352__d3ea2220ae484558dd0ef8967936e54e.wav,30.0,0.24,0.0,0.0
default_14_18mo_42_001353__562a9676995c5e73bf004aa9d84c7ba8.wav,30.0,0.24,0.0,0.0
default_14_18mo_42_001354__e4ff3fc4e9289b0770bd74ab434be4ef.wav,30.0,0.24,0.23,4.0
default_14_18mo_42_001355__ec45bf1652326779e202e428bd184859.wav,30.0,0.24,0.21,3.0
default_14_18mo_42_001356__27852ac7210b5f003bb1532c7a2681e9.wav,30.0,0.24,0.18,2.0
default_14_18mo_42_001357__df7982a645bcad3c2da1d72a5a477d71.wav,30.0,0.24,0.0,0.0
default_14_18mo_42_001358__bb8435b121e10d711177c63ade933acd.wav,30.0,0.24,0.17,1.0
default_14_18mo_42_001359__adaaf029dc7ede3a3970ebfcb5748dd7.wav,30.0,0.24,0.0,0.0
default_14_18mo_42_001360__e1bce6aac5079589f2930165b1290fe2.wav,30.0,0.24,0.18,1.0
default_14_18mo_42_001361__1cd504829a996122be289860c4d17494.wav,30.0,0.24,0.21,1.0
default_14_18mo_42_001362__6c967ab6434bd38febfac89eca89bcd9.wav,30.0,0.24,0.0,0.0
default_14_18mo_42_001363__dfcd9ef08eb2aa67e139c8f22da1ee62.wav,30.0,0.24,0.19,4.0
default_14_18mo_42_001364__a2f14cb80c577a377238b314c79ffde2.wav,30.0,0.24,0.3,1.0
default_14_18mo_42_001366__cd183e0ec8b5bb25800f5fcb61f79247.wav,30.0,0.24,0.0,0.0
default_14_18mo_42_001367__1017d1e3a49a698cce84b38fd1398169.wav,30.0,0.24,0.0,0.0
default_14_18mo_42_001368__8d45bfff62c14351bf8b91b9f53e837f.wav,30.0,0.24,0.36,1.0
default_14_18mo_42_001369__909fde402c68a465ec2c750497ba880b.wav,30.0,0.24,0.31,2.0
default_14_18mo_42_001370__902568f29ed8119e2537634d6140d503.wav,30.0,0.24,0.32,2.0
default_14_18mo_42_001371__5320ca84daee584c2535cf70b52275c7.wav,30.0,0.24,,
default_14_18mo_42_001372__c6994ee4626961d9538df2f93710f3e7.wav,30.0,0.24,0.29,1.0
default_14_18mo_42_001373__e58c301c053fb48184ab7805781712b8.wav,30.0,0.24,0.29,2.0
default_14_18mo_42_001374__1e03f5327b5a746a557088b2aa6214bd.wav,30.0,0.24,0.0,0.0
default_14_18mo_42_001375__6dba86788a98a8b5ae60fb011c325f01.wav,30.0,0.24,0.0,0.0
default_14_18mo_42_001376__1df1876342c8f09bdb94586af5f5bf47.wav,30.0,0.24,0.3,1.0
default_14_18mo_42_001377__e2611d1bdf2f5a2e7618f9a23f7ea427.wav,30.0,0.24,0.0,0.0
default_14_18mo_42_001378__36eb1169ae2a51f1569652ac7a9b36a6.wav,30.0,0.24,0.0,0.0
default_14_18mo_42_001379__7c07483c90220c5c1a4921712d5e70d4.wav,30.0,0.24,,
default_14_18mo_42_001380__50044df103586acf4e871186169d3bfa.wav,30.0,0.24,0.3,2.0
default_14_18mo_42_001381__1234a0229e02fd2a731bcf5259fc0b24.wav,30.0,0.24,0.0,0.0
default_14_18mo_42_001383__ee523c826bb6c1a61a528d6fe98b2378.wav,30.0,0.24,0.31,3.0
default_14_18mo_42_001384__1cc8734f7b12ee63fcdf083b9a220223.wav,30.0,0.24,,
default_14_18mo_42_001385__54dd27e27e220ebc4b28ed4b6badabaa.wav,30.0,0.24,0.3,1.0
default_14_18mo_42_001386__10ecdaa2cf1be05ab599e3ddc84111a6.wav,30.0,0.24,0.0,0.0
default_14_18mo_42_001388__c71a87b0737fe32812ec71c65696eccf.wav,30.0,0.24,0.32,1.0
default_14_18mo_42_001390__f8abd7eeea4e60202f082ae2187f10e8.wav,30.0,0.24,,
default_14_18mo_42_001391__99590c0b392602c354a3aa940642a690.wav,30.0,0.24,0.31,2.0
default_14_18mo_42_001392__bb34c4fa42cfbc72da1fe924cea9d22d.wav,30.0,0.24,0.3,4.0
default_14_18mo_42_001393__b7d9162b8073de8c9c7688af80f41d3e.wav,30.0,0.24,0.32,2.0
default_14_18mo_42_001394__99042ccb7e83f57ef0670e3ac5d97ed9.wav,30.0,0.24,0.0,0.0
default_14_18mo_42_001395__a3f5e64afdafe615d045cbb8771baad9.wav,30.0,0.24,0.32,2.0
default_14_18mo_42_001396__cf6808ad26df2652c6739337a55d3226.wav,30.0,0.24,,
default_14_18mo_42_001397__5ba660fefc16ccee3f30b8a6f65031bd.wav,30.0,0.24,0.0,0.0
default_14_18mo_42_001398__15f6601b8696664d3bbc7b2e419e4b7d.wav,30.0,0.24,0.0,0.0
default_14_18mo_42_001399__485dbcf73e4c4a7ce9975fffa7ac064b.wav,30.0,0.24,0.3,2.0
default_14_18mo_42_001400__11b762bf6207c94568829a1a7d12e216.wav,30.0,0.24,0.31,1.0
default_14_18mo_42_001401__1bef762486463cdafb59fe3139d10263.wav,30.0,0.24,0.0,0.0
default_14_18mo_42_001402__3064392ed803b03ab294edde713d6c24.wav,30.0,0.24,0.33,5.0
default_14_18mo_42_001403__480ae16017bab56ca811a40737726fab.wav,30.0,0.24,0.3,1.0
default_14_18mo_42_001404__6367e7eb216a999c53c03b2d2c75d346.wav,30.0,0.24,0.3,1.0
default_14_18mo_42_001405__f9aeb3e4c6e6d06241f01adbd256d5a6.wav,30.0,0.24,0.0,0.0
default_14_18mo_42_001406__c366c306652310058d693f4302516ae8.wav,30.0,0.24,0.31,2.0
default_14_18mo_42_001407__9130332c5e9e45b45f879968b59c54ab.wav,30.0,0.24,0.29,1.0
default_14_18mo_42_001408__6a0f11423cc7d23962749ae011c3a44b.wav,30.0,0.24,0.28,1.0
default_14_18mo_42_001409__8e550d801978463efd31f48f109df1f6.wav,30.0,0.24,0.0,0.0
default_14_18mo_42_001410__be25ec5d80fea109869b3ed417a2aeab.wav,30.0,0.24,0.24,2.0
default_14_18mo_42_001412__d1a8bc6eb4d50f3e5e0328df94efae86.wav,30.0,0.24,0.19,2.0
default_14_18mo_42_001413__78d2013bceffd7053f564b7657117399.wav,30.0,0.24,0.21,4.0
default_14_18mo_42_001414__19ff9414d025f6b1a5eda0a8976ab14a.wav,30.0,0.24,0.19,1.0
default_14_18mo_42_001415__4acf6e25619ae88bdc67f7504db57adb.wav,30.0,0.24,0.0,0.0
default_14_18mo_42_001416__58435d20ce136bb86ff1bce233488218.wav,30.0,0.24,0.2,1.0
default_14_18mo_42_001417__8920de91e201e7e571ca5fc9b27d5389.wav,30.0,0.24,0.16,1.0
default_14_18mo_42_001418__5f8e9de770b058eca9b721f4c87e147e.wav,30.0,0.24,0.19,1.0
default_14_18mo_42_001419__073d1fa1bf4396df76a05ff26395e4c2.wav,30.0,0.24,0.16,1.0
default_14_18mo_42_001420__95aae7fcca11ab7d6fe794a2836903af.wav,30.0,0.24,,
default_14_18mo_42_001421__ebf20a425d97e889ea9a1bf4a1f2cd7c.wav,30.0,0.24,0.17,2.0
default_14_18mo_42_001422__74e86279b3dbbe7d4821d0f9b6f71c26.wav,30.0,0.24,0.19,3.0
default_14_18mo_42_001423__ecba5d796ac094068bceb6907a50f7a0.wav,30.0,0.24,0.0,0.0
default_14_18mo_42_001424__9852e60e0bb6668f294eb9edd907dbda.wav,30.0,0.24,0.18,2.0
default_14_18mo_42_001425__8b615125138fc28146259038f4f2bee4.wav,30.0,0.24,0.2,5.0
default_14_18mo_42_001426__324903821f55aca5e0c50eb6c63fc5f5.wav,30.0,0.24,0.19,4.0
default_14_18mo_42_001427__71c0ea6d7403b3ae8610dd1a715dd6b4.wav,30.0,0.24,0.0,0.0
default_14_18mo_42_001428__686b94b1d1d3ca785174ade0fd80bc40.wav,30.0,0.24,0.2,1.0
default_14_18mo_42_001429__3c186c21e50c58c1bb62260d0dd875ea.wav,30.0,0.24,,
default_14_18mo_42_001430__dced0bc11e51e3293250276e3e5a5862.wav,30.0,0.24,0.0,0.0
default_14_18mo_42_001431__262af57b1b073832abecf855c8f37eb8.wav,30.0,0.24,,
default_14_18mo_42_001432__734a9d710213cc4084a26963618c1637.wav,30.0,0.24,0.2,1.0
default_14_18mo_42_001434__aca5cc0026b753e9632a633fd04e132c.wav,30.0,0.24,0.21,3.0
default_14_18mo_42_001435__eea86f9480a3cab562dadb504e6e544e.wav,30.0,0.24,0.0,0.0
default_14_18mo_42_001436__7afcab449f8d339cba9474456eeb6384.wav,30.0,0.24,0.0,0.0
default_14_18mo_42_001437__f191a9fb51897f9ca2a2ab3622150a7c.wav,30.0,0.24,0.0,0.0
default_14_18mo_42_001438__39ceb08cb70d43bcd16a2e5bba44c4f2.wav,30.0,0.24,,
default_14_18mo_42_001439__ecd3413855d3778f77f97e10d65fb975.wav,30.0,0.24,0.0,0.0
default_14_18mo_42_001440__9b9de76d735efe7c968c046be4f7f3fb.wav,30.0,0.24,0.0,0.0
default_14_18mo_42_001441__929ee73820be6ebaceeb621998d5e70b.wav,30.0,0.24,0.0,0.0
default_14_18mo_42_001442__ed5ffaf7f720c35d66512f7e485ea9ad.wav,30.0,0.24,0.19,3.0
default_14_18mo_42_001443__3b38c65722a115de2de167a839a9cf98.wav,30.0,0.24,0.16,2.0
default_14_18mo_42_001444__292772b32e1f11fae9e6c44e8b7d9ef5.wav,30.0,0.24,0.0,0.0
default_14_18mo_42_001445__1453a622d9494fc50bef4291d24d3bd1.wav,30.0,0.24,0.0,0.0
default_14_18mo_42_001446__dd982a277442a94c578bb349c4ddfbb2.wav,30.0,0.24,0.2,2.0
default_14_18mo_42_001447__5827eca833526fd9344ed829e3603a6f.wav,30.0,0.24,0.16,1.0
default_14_18mo_42_001448__5e133760be63883d306f03ccaa27c2ad.wav,30.0,0.24,0.19,2.0
default_14_18mo_42_001449__f09482935cad4ffec8733c53ec6b7da8.wav,30.0,0.24,0.21,3.0
default_14_18mo_42_001450__aa69721ab5597f0364ad8aca067bfc94.wav,30.0,0.24,0.0,0.0
default_14_18mo_42_001451__bb7d98c0499f28db72028c2c39c9aa6f.wav,30.0,0.24,0.23,4.0
default_14_18mo_42_001452__072ca66ec86fb4d8092a23a89344c056.wav,30.0,0.24,0.0,0.0
default_14_18mo_42_001453__58a2c0d5ce253c4b1bd5b4f4b55ad347.wav,30.0,0.24,0.0,0.0
default_14_18mo_42_001454__040b97befef5be0492b81be14d656a6f.wav,30.0,0.24,0.22,2.0
default_14_18mo_42_001455__6a04d979ba6c35ce759255db9ce5fcab.wav,30.0,0.24,0.0,0.0
default_14_18mo_42_001456__35aafb9a67760bc9e9d6dcef49a4ffb1.wav,30.0,0.24,0.19,1.0
default_14_18mo_42_001457__2e52a75861ba587328d900925467d1e1.wav,30.0,0.24,0.0,0.0
default_14_18mo_42_001458__1c696e7fa393a4541117a555afb0dc7f.wav,30.0,0.24,0.21,3.0
default_14_18mo_42_001459__d21509bae3d6f76dd77d3520599b2825.wav,30.0,0.24,0.2,3.0
default_14_18mo_42_001460__698bb686b2df22cbfa96d0974d9cf658.wav,30.0,0.24,0.19,2.0
default_14_18mo_42_001461__4b048ec3f94f883255035f0fa12fd1c3.wav,30.0,0.24,,
default_14_18mo_42_001462__e61d3463457076651b3235aadc82606d.wav,30.0,0.24,0.0,0.0
default_14_18mo_42_001463__4d8331cba08a96f3ea87e89b4b1503c2.wav,30.0,0.24,,
default_14_18mo_42_001464__751228a0c90edc007b0f3c0fa3732385.wav,30.0,0.24,0.18,1.0
default_14_18mo_42_001465__0c445b949fb76a16979d993dad381355.wav,30.0,0.24,0.0,0.0
default_14_18mo_42_001466__6ada710ac68437a9ddb4650dbeaf04fc.wav,30.0,0.24,0.0,0.0
default_14_18mo_42_001467__3a905901920f335c18dbb35743ff927f.wav,30.0,0.24,0.16,1.0
default_14_18mo_42_001468__022c81f6aec27a3243265c56d03eb27c.wav,30.0,0.24,0.0,0.0
default_14_18mo_42_001469__8b107c6553245f553efe57d581adc7e1.wav,30.0,0.24,0.26,1.0
default_14_18mo_42_001470__15ed92d840bb3428d1310d16249eaedd.wav,30.0,0.24,0.0,0.0
default_14_18mo_42_001471__442ee5bbc8771879ff7f39488b56d98e.wav,30.0,0.24,0.27,5.0
default_14_18mo_42_001472__467f559f882b6315f8bb44f3ad9bbcf3.wav,30.0,0.24,0.0,0.0
default_14_18mo_42_001473__4df15cc94c93e772f2f7248dfce51a5a.wav,30.0,0.24,0.0,0.0
default_14_18mo_42_001474__3a510244d710d86283ae043550bb1a4e.wav,30.0,0.24,0.24,3.0
default_14_18mo_42_001475__9c9026d829cf118a4fe30b3c8bae3174.wav,30.0,0.24,0.25,1.0
default_14_18mo_42_001476__394f2da74512bfa9d4682f3c6e42b90d.wav,30.0,0.24,0.24,2.0
default_14_18mo_42_001477__ba2d8d839a8329448ee0b85415f4f183.wav,30.0,0.24,0.22,2.0
default_14_18mo_42_001478__2970bca61b96eedaad6e0f47f912f518.wav,30.0,0.24,0.0,0.0
default_14_18mo_42_001479__1fb75302edcbb701c5b6864f421a3155.wav,30.0,0.24,0.24,2.0
default_14_18mo_42_001480__bb0ae784b4d33135538a9a72edc58040.wav,30.0,0.24,0.25,2.0
default_14_18mo_42_001481__e0754d16f00e6b99089e53cecbb81e68.wav,30.0,0.24,0.0,0.0
default_14_18mo_42_001482__09719cb844b72207de80b68811033277.wav,30.0,0.24,0.0,0.0
default_14_18mo_42_001484__c51c0aea666cba9a274712f3b5c461e5.wav,30.0,0.24,0.25,2.0
default_14_18mo_42_001485__aa38f1f9a44be0a4a9af65f1dea860ae.wav,30.0,0.24,0.25,4.0
default_14_18mo_42_001486__2243df63e501684a7b767cfc66034474.wav,30.0,0.24,0.24,1.0
default_14_18mo_42_001487__342f28b8781ef2a55780d3c4013a1d69.wav,30.0,0.24,0.24,2.0
default_14_18mo_42_001488__f297ee9d9e991201c04202ac409bb8f0.wav,30.0,0.24,,
default_14_18mo_42_001489__4705359ca50a519d65d52219c9a943d8.wav,30.0,0.24,0.27,4.0
default_14_18mo_42_001490__5fe78e1aa33ee45f8cdd1a78b4bc70ae.wav,30.0,0.24,0.25,1.0
default_14_18mo_42_001491__7fe0300bbcd0d79b6af9b31e1cb2b359.wav,30.0,0.24,0.24,1.0
default_14_18mo_42_001492__4fed90ed48294b4fc4bb723a848c77e5.wav,30.0,0.24,0.25,1.0
default_14_18mo_42_001493__73cf40c67326932bd49a978fd925f7be.wav,30.0,0.24,0.0,0.0
default_14_18mo_42_001494__38afe79ef8b44da72c61b6dbaadd5450.wav,30.0,0.24,0.24,1.0
default_14_18mo_42_001495__6f21cff93f64c92e34ab704ccb08a065.wav,30.0,0.24,0.25,1.0
default_14_18mo_42_001496__264cc0d4096dd59edf882a76c183504c.wav,30.0,0.24,0.0,0.0
default_14_18mo_42_001497__2ca86037724d64a16e732cc35e3c1a17.wav,30.0,0.24,0.0,0.0
default_14_18mo_42_001498__c126cad789b79758cc99d22e47157cfc.wav,30.0,0.24,0.31,1.0
default_14_18mo_42_001499__ad6a70f55baf89a2a0a1d2bad2f2c3b7.wav,30.0,0.24,,
default_14_18mo_42_001500__bda63f28cff3eb1dc80288eaaeb92c4d.wav,30.0,0.24,0.0,0.0
default_14_18mo_42_001501__19cb8a1cdf0f0c974525986f49168de5.wav,30.0,0.24,0.3,2.0
default_14_18mo_42_001502__1180eb5eec5f3ec00cac3c4bf742e0c2.wav,30.0,0.24,0.0,0.0
default_14_18mo_42_001503__bc83a61d606d132300fcaa0f5a451ed8.wav,30.0,0.24,0.3,1.0
default_14_18mo_42_001504__b18d8cc5915352367cfb3b661234482e.wav,30.0,0.24,0.29,2.0
default_14_18mo_42_001505__90c6c427bb8a32463158e2908a84643b.wav,30.0,0.24,0.32,1.0
default_14_18mo_42_001506__e82cd78d1bb196363a547a57eb62844a.wav,30.0,0.24,0.0,0.0
default_14_18mo_42_001507__293e14553771ab6fc1361a9d99a62815.wav,30.0,0.24,0.0,0.0
default_14_18mo_42_001508__86db078d5c3414cfda9088b032a18bf8.wav,30.0,0.24,0.28,1.0
default_14_18mo_42_001509__ec24529f62f45af99b31c2ee91e16e7e.wav,30.0,0.24,0.0,0.0
default_14_18mo_42_001510__3e5dbdd388fcf981e2157608e2d58c13.wav,30.0,0.24,0.31,1.0
default_14_18mo_42_001511__ffac8512322fdd2f64f8d99204ee19f5.wav,30.0,0.24,0.0,0.0
default_14_18mo_42_001512__88aaabec6672c24f892d7f3c8c08da32.wav,30.0,0.24,,
default_14_18mo_42_001513__d80dcc792a5feafedb865a4d3abe6cca.wav,30.0,0.24,0.0,0.0
default_14_18mo_42_001514__a9ae0e1dd815d10288104b2b7d3988c0.wav,30.0,0.24,0.29,1.0
default_14_18mo_42_001515__eac90a74001b57b92dfd9a72d0a6005e.wav,30.0,0.24,,
default_14_18mo_42_001516__00ad7a469a225fb8873b784ee14d5c46.wav,30.0,0.24,0.0,0.0
default_14_18mo_42_001517__b93cb3f4285a05d66f9522d059beb2e2.wav,30.0,0.24,0.0,0.0
default_14_18mo_42_001518__5af52c46088c36adf648c09afe6c1bec.wav,30.0,0.24,0.29,1.0
default_14_18mo_42_001519__4671d6c70602f804f63533948c725fe5.wav,30.0,0.24,0.3,3.0
default_14_18mo_42_001520__da8ed9d11514752f776597c283034dd1.wav,30.0,0.24,0.0,0.0
default_14_18mo_42_001521__9610358cd07172258938f94873bc8baf.wav,30.0,0.24,0.28,2.0
default_14_18mo_42_001522__6fc86122f402029b714fd3be889e201f.wav,30.0,0.24,0.28,2.0
default_14_18mo_42_001523__2f2e080b35be0cdaf62db52861ea7527.wav,30.0,0.24,0.26,6.0
default_14_18mo_42_001524__f0e3f411257fbabd7f6c4d9698ef4368.wav,30.0,0.24,0.22,1.0
default_14_18mo_42_001525__68a81a1a73a4078cc69f902de674a6ac.wav,30.0,0.24,0.0,0.0
default_14_18mo_42_001526__e80e578416f5bd72ea69a408ce518fd8.wav,30.0,0.24,0.21,1.0
default_14_18mo_42_001527__6e973f39d406380c3acbc7bc4acfc2f7.wav,30.0,0.24,0.22,1.0
default_14_18mo_42_001528__a9b4f320d23663021e4f15af199a39a7.wav,30.0,0.24,0.21,1.0
default_14_18mo_42_001529__ea90590da9cbab92b9d95b3781c0a592.wav,30.0,0.24,0.25,6.0
default_14_18mo_42_001530__4184d53e19b0b89219eda4f95995057b.wav,30.0,0.24,0.21,4.0
default_14_18mo_42_001531__92cd839555223c5efaebae81f65d3b28.wav,30.0,0.24,0.22,4.0
default_14_18mo_42_001532__f8da5fc906e84ae597ee84ebbb0bc843.wav,30.0,0.24,0.21,1.0
default_14_18mo_42_001533__8f8f0841e4eb798d4f4884f7fe671b23.wav,30.0,0.24,0.19,1.0
default_14_18mo_42_001534__1353e27c8b1a35f5ab78ae99eebe9755.wav,30.0,0.24,,
default_14_18mo_42_001535__d892d5a4bda2c3e0a87f8ccca6875a83.wav,30.0,0.24,0.19,2.0
default_14_18mo_42_001536__f57d74b70d7a7ec304eca807563f5e5e.wav,30.0,0.24,0.0,0.0
default_14_18mo_42_001537__54a29304e0799bba7b1c0edb22b71b98.wav,30.0,0.24,0.2,5.0
default_14_18mo_42_001538__46f11268a94c14a914159702209c9af3.wav,30.0,0.24,0.18,1.0
default_14_18mo_42_001539__d2346ea7148a598dc8851a7d833aa27e.wav,30.0,0.24,0.18,2.0
default_14_18mo_42_001540__4d60e7786a12418be8c8984f046fc3ff.wav,30.0,0.24,0.18,1.0
default_14_18mo_42_001541__f752936e7269f6ed5214213fd7ef45f7.wav,30.0,0.24,0.0,0.0
default_14_18mo_42_001542__b4a9afca26077e94407c588f301f9085.wav,30.0,0.24,0.0,0.0
default_14_18mo_42_001543__ea94b882c3bf31f29f72477908d6eab4.wav,30.0,0.24,0.18,1.0
default_14_18mo_42_001544__ef0f626bb87002442144377c7b021cca.wav,30.0,0.24,0.0,0.0
default_14_18mo_42_001545__ae1af3985b303f70e0eb5bc0d18d8727.wav,30.0,0.24,0.16,1.0
default_14_18mo_42_001546__2e68e16b1747abb1abdd1f489d9735bf.wav,30.0,0.24,,
default_14_18mo_42_001547__0c7aa3d882b622abf3b52a999a88cb40.wav,30.0,0.24,0.0,0.0
default_14_18mo_42_001548__98df73496a005a9d639020bcbbc936aa.wav,30.0,0.24,0.0,0.0
